column_name,data_type,source_table,description,formula_or_logic
snapshot_date,DATE,n/a,Date the query was run,DATE('${date}') parameter
site,VARCHAR(10),r5stock_apm_na/eu,Site identifier code,SPLIT_PART(sto_store '-' 1)
region,VARCHAR(10),r5stock_apm_na/eu,Geographic region (NA or EU),Hardcoded based on source table
part,VARCHAR(50),r5stock_apm_na/eu,Amazon part number (R5 sto_part),Same as amazon_pn
amazon_pn,VARCHAR(50),r5stock_apm_na/eu,Amazon part number,Same as part (sto_part)
product,VARCHAR(50),hw_part_family_site_equipment_consumption,Equipment type/product category,MAX(equipment) per apn+site
part_description,VARCHAR(500),r5catalogue_apm_na/eu,Part description from R5 catalogue,MAX(cat_desc) per part+region
building_type,VARCHAR(20),ardl_common_warehouses_enhanced_lookup,Site building type classification,Joined by warehouse=site
sto_class,VARCHAR(10),r5stock_apm_na/eu,Stock classification level,MAX(sto_class) per site+part; values: 01 HIGH / 02 MED / 03 LOW
site_oh_qty,INT,r5stock_apm_na/eu,Site on-hand quantity (latest inventory),MAX(sto_qty) from most recent sto_updated per site+part
min_level,INT,r5stock_apm_na/eu,Minimum reorder level configured in R5,MAX(sto_minlev) per site+part
max_level,INT,r5stock_apm_na/eu,Maximum stock level configured in R5,MAX(sto_maxqty) per site+part
supplier_lead_time,INT,r5catalogue_apm_na/eu,Median catalogue lead time across all orders for this part/site,PERCENTILE(cat_leadtime 0.5) per site+part from order_lead_times
replenishment_time,INT,r5catalogue_apm_na/eu,Same as supplier_lead_time,Alias of supplier_lead_time
order_count,INT,r5orderlines+r5orders,Count of received orders in last 365 days,COUNT(*) from received_orders (status AR/PR)
avg_rep_time_days,DECIMAL(10.6),r5orderlines+r5orders,Average actual replenishment time in days,AVG(order_received_date - order_created_date) from received orders
min_rep_time_days,INT,r5orderlines+r5orders,Minimum replenishment time observed,MIN(rep_time_days)
max_rep_time_days,INT,r5orderlines+r5orders,Maximum replenishment time observed,MAX(rep_time_days)
last_received_date,DATE,r5orderlines+r5orders,Most recent order receipt date,MAX(order_received_date)
last_30d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 30 days,SUM(qty where created >= -30d) / 30
last_60d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 60 days,SUM(qty where created >= -60d) / 60
last_90d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 90 days,SUM(qty where created >= -90d) / 90
last_120d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 120 days,SUM(qty where created >= -120d) / 120
last_150d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 150 days,SUM(qty where created >= -150d) / 150
last_180d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 180 days,SUM(qty where created >= -180d) / 180
last_365d_order,DECIMAL(10.6),r5orderlines+r5orders,Daily order rate over last 365 days,SUM(all qty) / 365
